# Time-averaged data for fix aveE
# TimeStep v_varbias
3390000 0.00370325
3400000 0.00450045
3410000 0.00436888
3420000 0.00436797
3430000 0.00461363
3440000 0.00443987
3450000 0.00402167
3460000 0.00391589
3470000 0.00379627
3480000 0.00396948
3490000 0.00381898
3500000 0.0041848
3510000 0.00434456
3520000 0.00443428
3530000 0.00431342
3540000 0.00476436
3550000 0.00513343
3560000 0.00498924
3570000 0.00479351
3580000 0.00451656
3590000 0.00455253
3600000 0.00432424
3610000 0.00466013
3620000 0.00438786
3630000 0.00442755
3640000 0.00429298
3650000 0.00409136
3660000 0.00439196
3670000 0.00409514
3680000 0.00426705
3690000 0.00384015
3700000 0.00371726
3710000 0.0034921
3720000 0.00322254
3730000 0.00356444
3740000 0.00366395
3750000 0.00401204
3760000 0.00416323
3770000 0.00386697
3780000 0.00407165
3790000 0.00358004
3800000 0.0034847
3810000 0.00310985
3820000 0.00307794
3830000 0.00307406
3840000 0.00266426
3850000 0.00258057
3860000 0.00173026
3870000 0.00140355
3880000 0.00219923
3890000 0.00259675
3900000 0.00213238
3910000 0.002597
3920000 0.00189946
3930000 0.0013194
3940000 0.00128776
3950000 0.000685964
3960000 -0.000400642
3970000 0.0023274
3980000 0.0082356
3990000 0.00758955
4000000 0.00745947
4010000 0.0073748
4020000 0.00742608
4030000 0.00731111
4040000 0.00738744
4050000 0.00733295
4060000 0.00730459
4070000 0.0072024
4080000 0.00710855
4090000 0.00683074
4100000 0.00676593
4110000 0.00648403
4120000 0.00660897
4130000 0.00664653
4140000 0.00676055
4150000 0.00684916
4160000 0.00664512
4170000 0.00669285
4180000 0.0068547
4190000 0.00691
4200000 0.00681899
4210000 0.00688104
4220000 0.00692343
4230000 0.00674458
4240000 0.00649903
4250000 0.00638971
4260000 0.00623682
4270000 0.00598646
4280000 0.00571476
4290000 0.00561606
4300000 0.00549596
4310000 0.00542113
4320000 0.00519514
4330000 0.00533028
4340000 0.00535058
4350000 0.00522384
4360000 0.0054675
4370000 0.00553533
4380000 0.00535798
4390000 0.00541473
4400000 0.00511489
4410000 0.0051361
4420000 0.00495952
4430000 0.00481194
4440000 0.00476968
4450000 0.00461963
4460000 0.00477826
4470000 0.00483388
4480000 0.00498379
4490000 0.00519188
4500000 0.00530804
4510000 0.00541198
4520000 0.00547141
4530000 0.00563574
4540000 0.00546727
4550000 0.0053124
4560000 0.0052394
4570000 0.00541727
4580000 0.00530475
4590000 0.00502026
4600000 0.00488897
4610000 0.00455965
4620000 0.00474875
4630000 0.00453675
4640000 0.00467892
4650000 0.00439953
4660000 0.00423754
4670000 0.00383923
4680000 0.00344263
4690000 0.00338411
4700000 0.0035458
4710000 0.00321499
4720000 0.00321491
4730000 0.00355366
4740000 0.00409584
4750000 0.00403812
4760000 0.0038165
4770000 0.00388765
4780000 0.00343633
4790000 0.00332772
4800000 0.00308899
4810000 0.00270875
4820000 0.0029239
4830000 0.00258011
4840000 0.00268004
4850000 0.00224889
4860000 0.00217618
4870000 0.00229863
4880000 0.00233815
4890000 0.00216203
4900000 0.0024044
4910000 0.00221282
4920000 0.00288415
4930000 0.00332835
4940000 0.00320668
4950000 0.00344548
4960000 0.00332692
4970000 0.00311509
4980000 0.00308901
4990000 0.00298077
5000000 0.00321483
5010000 0.00360459
5020000 0.00351056
5030000 0.0033629
5040000 0.00346493
5050000 0.00341328
5060000 0.00365217
5070000 0.00391616
5080000 0.00378829
5090000 0.00339636
5100000 0.0035008
5110000 0.00348418
5120000 0.0033481
5130000 0.00312388
5140000 0.00306704
