# Time-averaged data for fix aveE
# TimeStep v_varbias
3530000 -0.112795
3540000 -0.115699
3550000 -0.118601
3560000 -0.121499
3570000 -0.124395
3580000 -0.127287
3590000 -0.130176
3600000 -0.133062
3610000 -0.135945
3620000 -0.138824
3630000 -0.141699
3640000 -0.144572
3650000 -0.14744
3660000 -0.150305
3670000 -0.153166
3680000 -0.156023
3690000 -0.158877
3700000 -0.161726
3710000 -0.164572
3720000 -0.167413
3730000 -0.17025
3740000 -0.173083
3750000 -0.175911
3760000 -0.178735
3770000 -0.181555
3780000 -0.18437
3790000 -0.18718
3800000 -0.189986
3810000 -0.192787
3820000 -0.195584
3830000 -0.198375
3840000 -0.201161
3850000 -0.203943
3860000 -0.206719
3870000 -0.20949
3880000 -0.212256
3890000 -0.215016
3900000 -0.217771
3910000 -0.220521
3920000 -0.223265
3930000 -0.226004
3940000 -0.228737
3950000 -0.231464
3960000 -0.234186
3970000 -0.236901
3980000 -0.239611
3990000 -0.242315
4000000 -0.245012
4010000 -0.247704
4020000 -0.250389
4030000 -0.253068
4040000 -0.255741
4050000 -0.258407
4060000 -0.261067
4070000 -0.26372
4080000 -0.266367
4090000 -0.269007
4100000 -0.271641
4110000 -0.274267
4120000 -0.276887
4130000 -0.2795
4140000 -0.282106
4150000 -0.284704
4160000 -0.287296
4170000 -0.289881
4180000 -0.292458
4190000 -0.295028
4200000 -0.29759
4210000 -0.300145
4220000 -0.302693
4230000 -0.305233
4240000 -0.307765
4250000 -0.31029
4260000 -0.312807
4270000 -0.315316
4280000 -0.317817
4290000 -0.320311
4300000 -0.322796
4310000 -0.325273
4320000 -0.327742
4330000 -0.330203
4340000 -0.332656
4350000 -0.3351
4360000 -0.337536
4370000 -0.339963
4380000 -0.342382
4390000 -0.344793
4400000 -0.347195
4410000 -0.349588
4420000 -0.351972
4430000 -0.354348
4440000 -0.356715
4450000 -0.359072
4460000 -0.361421
4470000 -0.363761
4480000 -0.366092
4490000 -0.368413
4500000 -0.370726
4510000 -0.373029
4520000 -0.375323
4530000 -0.377607
4540000 -0.379882
4550000 -0.382147
4560000 -0.384403
4570000 -0.38665
4580000 -0.388886
4590000 -0.391113
4600000 -0.39333
4610000 -0.395538
4620000 -0.397735
4630000 -0.399922
4640000 -0.4021
4650000 -0.404267
4660000 -0.406425
4670000 -0.408572
4680000 -0.410709
4690000 -0.412835
4700000 -0.414952
4710000 -0.417057
4720000 -0.419153
4730000 -0.421238
4740000 -0.423313
4750000 -0.425377
4760000 -0.42743
4770000 -0.429472
4780000 -0.431504
4790000 -0.433525
4800000 -0.435536
4810000 -0.437535
4820000 -0.439523
4830000 -0.441501
4840000 -0.443467
4850000 -0.445423
4860000 -0.447367
4870000 -0.4493
4880000 -0.451222
4890000 -0.453132
4900000 -0.455031
4910000 -0.456919
4920000 -0.458795
4930000 -0.46066
4940000 -0.462514
