# Time-averaged data for fix aveIp
# TimeStep c_Ip
3460000 -0.00256615
3470000 -0.00275884
3480000 -0.0033354
3490000 -0.0038481
3500000 -0.00413546
3510000 -0.0048727
3520000 -0.00524204
3530000 -0.00588472
3540000 -0.0064625
3550000 -0.00733277
3560000 -0.00809277
3570000 -0.00883122
3580000 -0.00951715
3590000 -0.0108173
3600000 -0.0117554
3610000 -0.0123235
3620000 -0.0137643
3630000 -0.0144037
3640000 -0.015696
3650000 -0.0165443
3660000 -0.0180064
3670000 -0.0198634
3680000 -0.0208187
3690000 -0.0212824
3700000 -0.0231905
3710000 -0.0249153
3720000 -0.0265025
3730000 -0.0278234
3740000 -0.0293882
3750000 -0.0312959
3760000 -0.0329674
3770000 -0.0352447
3780000 -0.0370317
3790000 -0.0389598
3800000 -0.0408003
3810000 -0.0428144
3820000 -0.0446811
3830000 -0.046994
3840000 -0.0486494
3850000 -0.0512519
3860000 -0.0538819
3870000 -0.0560725
3880000 -0.0580828
3890000 -0.0606186
3900000 -0.0623144
3910000 -0.0640547
3920000 -0.0664154
3930000 -0.069522
3940000 -0.071381
3950000 -0.0742773
3960000 -0.0769804
3970000 -0.0799601
3980000 -0.0816286
3990000 -0.0844453
4000000 -0.0859487
4010000 -0.0901712
4020000 -0.0931011
4030000 -0.0948826
4040000 -0.0975245
4050000 -0.100284
4060000 -0.102221
4070000 -0.105062
4080000 -0.108528
4090000 -0.11087
4100000 -0.11269
4110000 -0.11668
4120000 -0.119645
4130000 -0.120849
4140000 -0.125258
4150000 -0.127733
4160000 -0.130644
4170000 -0.132853
4180000 -0.135738
4190000 -0.13906
4200000 -0.141871
4210000 -0.143157
4220000 -0.145858
4230000 -0.147878
4240000 -0.150972
4250000 -0.154769
4260000 -0.156152
4270000 -0.159278
4280000 -0.161655
4290000 -0.163611
4300000 -0.167556
4310000 -0.169419
4320000 -0.172054
4330000 -0.174452
4340000 -0.176964
4350000 -0.179832
4360000 -0.182578
4370000 -0.184851
4380000 -0.187352
4390000 -0.188936
4400000 -0.192141
4410000 -0.193357
4420000 -0.196171
4430000 -0.198854
4440000 -0.201754
4450000 -0.203767
4460000 -0.205791
4470000 -0.208605
4480000 -0.21008
4490000 -0.212257
4500000 -0.214953
4510000 -0.216838
4520000 -0.219012
4530000 -0.221091
4540000 -0.223059
4550000 -0.224951
4560000 -0.227323
4570000 -0.229499
4580000 -0.231081
4590000 -0.233693
4600000 -0.236334
4610000 -0.238092
4620000 -0.239695
4630000 -0.242514
4640000 -0.244088
4650000 -0.245797
4660000 -0.246836
4670000 -0.249845
4680000 -0.251756
4690000 -0.253177
4700000 -0.255072
4710000 -0.257168
4720000 -0.25904
4730000 -0.260471
4740000 -0.262923
4750000 -0.264865
4760000 -0.266505
4770000 -0.268469
4780000 -0.269724
4790000 -0.271377
4800000 -0.273603
4810000 -0.275641
4820000 -0.277153
4830000 -0.278523
4840000 -0.279901
