# Time-averaged data for fix aveIm
# TimeStep c_Im
3190000 0.000251647
3200000 0.000391293
3210000 0.000244792
3220000 0.000421846
3230000 0.000410107
3240000 0.000358312
3250000 0.000251885
3260000 0.000487029
3270000 0.00049047
3280000 0.000540974
3290000 0.000604006
3300000 0.000499264
3310000 0.000711588
3320000 0.000681843
3330000 0.000743262
3340000 0.000789996
3350000 0.000767009
3360000 0.000783136
3370000 0.000832527
3380000 0.000896911
3390000 0.000955334
3400000 0.00125249
3410000 0.0013682
3420000 0.00133537
3430000 0.00166425
3440000 0.00166993
3450000 0.00209337
3460000 0.00242823
3470000 0.00281534
3480000 0.00327153
3490000 0.00374211
3500000 0.00431277
3510000 0.00482351
3520000 0.00544364
3530000 0.00584945
3540000 0.00639915
3550000 0.00732889
3560000 0.00817988
3570000 0.00867048
3580000 0.00958363
3590000 0.0104229
3600000 0.011674
3610000 0.012292
3620000 0.0137675
3630000 0.0142746
3640000 0.0158792
3650000 0.0165375
3660000 0.0182617
3670000 0.0199808
3680000 0.0204715
3690000 0.0212774
3700000 0.0232765
3710000 0.024991
3720000 0.0266587
3730000 0.028065
3740000 0.0295238
3750000 0.031516
3760000 0.0333009
3770000 0.0351215
3780000 0.0370114
3790000 0.0389531
3800000 0.040717
3810000 0.0427803
3820000 0.0447944
3830000 0.0470499
3840000 0.0484586
3850000 0.0511663
3860000 0.0538468
3870000 0.0559413
3880000 0.0582419
3890000 0.0606028
3900000 0.0621414
3910000 0.064271
3920000 0.0662175
3930000 0.0694979
3940000 0.0714583
3950000 0.0742251
3960000 0.0766433
3970000 0.0799548
3980000 0.0816788
3990000 0.0845829
4000000 0.0861648
4010000 0.0899738
4020000 0.0930933
4030000 0.0948763
4040000 0.0976081
4050000 0.100442
4060000 0.102288
4070000 0.105249
4080000 0.108697
4090000 0.11091
4100000 0.112589
4110000 0.116752
4120000 0.119752
4130000 0.120735
4140000 0.124916
4150000 0.127881
4160000 0.130624
4170000 0.132679
4180000 0.135691
4190000 0.138617
4200000 0.141854
4210000 0.143328
4220000 0.145967
4230000 0.147842
4240000 0.150987
4250000 0.154674
4260000 0.155974
4270000 0.159229
4280000 0.161866
4290000 0.163459
4300000 0.167539
4310000 0.169126
4320000 0.172576
4330000 0.174782
4340000 0.176781
4350000 0.179926
4360000 0.182544
4370000 0.184783
4380000 0.187133
4390000 0.189203
4400000 0.192069
4410000 0.193624
4420000 0.196212
4430000 0.198466
4440000 0.20168
4450000 0.203763
4460000 0.205833
4470000 0.208801
4480000 0.210034
4490000 0.212247
4500000 0.214512
4510000 0.216854
4520000 0.218807
4530000 0.221087
4540000 0.223258
4550000 0.224759
4560000 0.227248
4570000 0.229499
4580000 0.231275
4590000 0.233947
4600000 0.236089
4610000 0.238105
4620000 0.239842
4630000 0.242753
4640000 0.24392
4650000 0.245777
4660000 0.246993
4670000 0.249498
4680000 0.251742
4690000 0.253258
4700000 0.255535
4710000 0.257152
4720000 0.259497
4730000 0.260661
4740000 0.26279
4750000 0.264783
4760000 0.26641
4770000 0.268225
4780000 0.269578
4790000 0.271601
4800000 0.27363
4810000 0.275272
4820000 0.277178
4830000 0.278385
4840000 0.280081
4850000 0.28177
4860000 0.283362
4870000 0.285483
4880000 0.2865
4890000 0.288293
4900000 0.29013
4910000 0.291772
4920000 0.29352
4930000 0.294756
4940000 0.296068
4950000 0.298026
4960000 0.299243
4970000 0.301289
4980000 0.302598
4990000 0.30346
5000000 0.305012
5010000 0.30671
5020000 0.307992
5030000 0.309209
5040000 0.31059
5050000 0.311949
5060000 0.313051
5070000 0.315328
5080000 0.315843
